Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,178,0.000145434,0,0,0.16,0.16,-0.0110665,-3.49775e-08,0.000138287,0.0110674
internalMesh,179,0.00013811,0,0.00809104,0.16,0.160204,-0.010858,7.34546e-05,0.000122055,0.0108589
internalMesh,180,0.000134313,0,0.00957827,0.16,0.160286,-0.0107442,8.46267e-05,0.000113695,0.0107452
internalMesh,181,0.000117513,0,0.0161592,0.16,0.160814,-0.0102409,0.000134063,7.67054e-05,0.0102421
internalMesh,182,9.99587e-05,0,0.0210057,0.16,0.161373,-0.00963679,0.000156724,3.75163e-05,0.00963814
internalMesh,183,8.84544e-05,0,0.0241819,0.16,0.161817,-0.00924086,0.000171575,1.18331e-05,0.00924246
internalMesh,184,7.22462e-05,0,0.0283951,0.16,0.1625,-0.00853271,0.000176324,-2.55206e-05,0.00853457
internalMesh,185,5.78545e-05,0,0.0321362,0.16,0.163195,-0.00790392,0.000180542,-5.86881e-05,0.0079062
internalMesh,186,4.81612e-05,0,0.0348819,0.16,0.163758,-0.00737552,0.00017389,-7.89402e-05,0.00737799
internalMesh,187,3.00921e-05,0,0.04,0.16,0.164924,-0.00639054,0.000161491,-0.000116692,0.00639364
internalMesh,188,1.70827e-05,0,0.0438571,0.16,0.165902,-0.00547663,0.000138622,-0.000136782,0.00548009
internalMesh,189,8.39932e-05,0,-0.04,0.18,0.184391,-0.00288383,-6.22367e-05,-4.01399e-05,0.00288478
internalMesh,190,8.96927e-05,0,-0.034956,0.18,0.183363,-0.0033503,-6.76873e-05,-2.59723e-05,0.00335108
internalMesh,191,9.28788e-05,0,-0.0321362,0.18,0.182846,-0.00361107,-7.07343e-05,-1.80522e-05,0.00361181
internalMesh,192,9.88753e-05,0,-0.0275787,0.18,0.1821,-0.00398379,-6.92413e-05,-2.27876e-06,0.00398439
internalMesh,193,0.000103345,0,-0.0241819,0.18,0.181617,-0.00426159,-6.81285e-05,9.4779e-06,0.00426215
internalMesh,194,0.000106782,0,-0.0215151,0.18,0.181281,-0.00442487,-6.33397e-05,1.80277e-05,0.00442536
internalMesh,195,0.000113686,0,-0.0161592,0.18,0.180724,-0.00475279,-5.37222e-05,3.51986e-05,0.00475322
internalMesh,196,0.000119723,0,-0.00969932,0.18,0.180261,-0.00499701,-3.44088e-05,4.97519e-05,0.00499738
internalMesh,197,0.000121226,0,-0.00809104,0.18,0.180182,-0.00505781,-2.96004e-05,5.33751e-05,0.00505818
internalMesh,198,0.000123986,0,0,0.18,0.18,-0.00516125,-4.20662e-09,5.99367e-05,0.0051616
internalMesh,199,0.000123986,0,0,0.18,0.18,-0.00516125,-4.20662e-09,5.99368e-05,0.0051616
internalMesh,200,0.000121266,0,0.00809104,0.18,0.180182,-0.00505786,2.95926e-05,5.34196e-05,0.00505823
internalMesh,201,0.000119856,0,0.00959912,0.18,0.180256,-0.00500086,3.41015e-05,5.003e-05,0.00500122
internalMesh,202,0.000113719,0,0.0161592,0.18,0.180724,-0.00475289,5.37153e-05,3.5285e-05,0.00475332
internalMesh,203,0.000107473,0,0.0209728,0.18,0.181218,-0.00445819,6.23601e-05,1.98745e-05,0.00445867
internalMesh,204,0.000103308,0,0.0241819,0.18,0.181617,-0.00426173,6.81232e-05,9.60088e-06,0.00426228
internalMesh,205,9.76849e-05,0,0.0284145,0.18,0.182229,-0.00391559,6.95097e-05,-5.03474e-06,0.00391621
internalMesh,206,9.27402e-05,0,0.0321362,0.18,0.182846,-0.00361122,7.07289e-05,-1.7904e-05,0.00361196
internalMesh,207,8.96382e-05,0,0.0348645,0.18,0.183345,-0.00335891,6.77814e-05,-2.55657e-05,0.00335969
internalMesh,208,8.37991e-05,0,0.04,0.18,0.184391,-0.00288398,6.22331e-05,-3.99876e-05,0.00288493
internalMesh,209,7.96867e-05,0,0.0441538,0.18,0.185336,-0.00241812,5.21973e-05,-4.78453e-05,0.00241915
internalMesh,210,9.83983e-05,0,-0.04,0.2,0.203961,-0.00123354,-2.23533e-05,-1.27166e-05,0.0012338
internalMesh,211,0.000100206,0,-0.0349391,0.2,0.203029,-0.00145009,-2.4571e-05,-7.57081e-06,0.00145032
internalMesh,212,0.000101207,0,-0.0321362,0.2,0.202565,-0.00157002,-2.57992e-05,-4.72095e-06,0.00157024
internalMesh,213,0.00010316,0,-0.0275725,0.2,0.201892,-0.00174511,-2.54261e-05,1.10157e-06,0.00174529
internalMesh,214,0.00010461,0,-0.0241819,0.2,0.201457,-0.00187519,-2.5149e-05,5.4274e-06,0.00187537
internalMesh,215,0.000105707,0,-0.0215808,0.2,0.201161,-0.00195065,-2.34767e-05,8.52776e-06,0.00195081
internalMesh,216,0.000107995,0,-0.0161592,0.2,0.200652,-0.00210793,-1.99912e-05,1.49901e-05,0.00210808
internalMesh,217,0.000109959,0,-0.00966789,0.2,0.200234,-0.00222499,-1.28071e-05,2.04692e-05,0.00222512
internalMesh,218,0.000110436,0,-0.00809104,0.2,0.200164,-0.00225342,-1.1062e-05,2.18001e-05,0.00225355
internalMesh,219,0.000111228,0,0,0.2,0.2,-0.00230292,1.30107e-08,2.4275e-05,0.00230305
